bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
B 一中一西,cdg-3972,親愛的，我被電視吸走了,1990,DOS,3,cmsylqo41000j04ji5ag5kvco,親愛的，我被電視吸走了！,1,1991–1991,,要判,
B 一中一西,cdg-3972,親愛的，我被電視吸走了,1990,DOS,3,cmsylqo4i000k04ji0nkumnxv,Altered Destiny,1,1991–1991,,要判,
B 一中一西,cdg-3983,粒子世界,1990,DOS,2,cmsx2w9dg006404ldrsmez0g2,粒子世界,1,1990–1990,,要判,
B 一中一西,cdg-3983,粒子世界,1990,DOS,2,cmsx2w9dn006504ldd9n9mhj2,The Game of Harmony,1,1990–1990,,要判,
B 一中一西,cdg-3994,拯救地球,1990,DOS,2,cmsybi8a9000d04l291em15xc,拯救地球,5,1990–1992,,要判,
B 一中一西,cdg-3994,拯救地球,1990,DOS,2,cmsybi8ap000e04l2f85a4cf1,Buck Rogers: Countdown to Doomsday,1,1990–1990,,要判,
B 一中一西,cdg-3997,克萊恩黑暗之后,1992,DOS,3,cmt9rt6g5000s04jsgtnowz4u,克萊恩黑暗之后,4,1992–1992,,要判,
B 一中一西,cdg-3997,克萊恩黑暗之后,1992,DOS,3,cmta06a2n001a04jrcltpba25,The Dark Queen Of Krynn,1,1992–1992,,要判,
B 一中一西,cdg-4004,浩劫餘生,1990,DOS,2,cmsyqgp0i00d904jnvhmx9yy7,浩劫餘生,4,1991–1998,,要判,
B 一中一西,cdg-4004,浩劫餘生,1990,DOS,2,cmsylqo09000204ji9hbxn5lv,Fountain of Dreams,1,1991–1991,,要判,
B 一中一西,cdg-4006,梅杜莎指環,1989,DOS,2,cmsybv6po00cx04l2z60px9xv,梅杜莎指環,4,1991–1991,,要判,
B 一中一西,cdg-4006,梅杜莎指環,1989,DOS,2,cmsxqcbni005304l457tofvyo,Rings of Medusa,2,1990–1990,,要判,
B 一中一西,cdg-4008,從海底出擊（Wolf Pack）,1990,DOS,0,cmsx2w9f1006h04ldwdz6f3tx,Wolf Pack,1,1990–1990,,要判,
B 一中一西,cdg-4008,從海底出擊（Wolf Pack）,1990,DOS,0,cmsx2w9es006g04ldpno4vjf3,從海底出擊,4,1990–1991,,要判,
B 一中一西,cdg-4011,紅爵士,1990,DOS,2,cmsyew001000l04l1hdgylwvp,紅爵士,3,1991–1993,,要判,
B 一中一西,cdg-4011,紅爵士,1990,DOS,2,cmtb7seu9001t04laeygygemm,Red Baron,1,1992–1992,,要判,
B 一中一西,cdg-4012,無敵飛狼2000,1991,DOS,0,cmt1hzrx7000204ldap58bser,無敵飛狼2000,6,1992–1992,,要判,
B 一中一西,cdg-4012,無敵飛狼2000,1991,DOS,0,cmsysv1ny001504jowv04oeit,GUNSHIP 2000,3,1991–1992,,要判,
B 一中一西,cdg-4022,戰爭風雲錄：韓戰,1992,DOS,0,cmt9rt6iy001904js1sbpysf6,戰爭風雲錄：韓戰,2,1992–1992,,要判,
B 一中一西,cdg-4022,戰爭風雲錄：韓戰,1992,DOS,0,cmta069xr000j04jrg9xi4k2q,Conflict: Korea,1,1992–1992,,要判,
